Type,Design section,D10xx,D11xx,D12xx,D14xx,D13xx,D20xx,D15xx L1,D15xx L2,D30xx K1,R K1,D30xx K2,R K2,D30xx MID,R MID
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET38,B,12ø32c150-D1010, ,2ø25c150-D1210,12ø20c145-D1400,12ø20c150-D1300,12ø12c150-D2010,64ø16c150-D1508,64ø16c150-D1508,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET39,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c130-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET40,B,12ø32c150-D1010, ,2ø25c150-D1210,12ø20c150-D1400,12ø20c150-D1300,12ø12c150-D2010,64ø16c150-D1508,64ø16c150-D1508,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET39,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c130-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET40,B,12ø32c150-D1010, ,2ø25c150-D1210,12ø20c150-D1400,12ø20c150-D1300,12ø12c150-D2010,64ø16c150-D1508,64ø16c150-D1508,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET39,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c130-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET37,B,13ø32c150-D1010, ,2ø25c150-D1210,13ø20c135-D1400,13ø20c150-D1300,13ø12c150-D2010,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET40,B,12ø32c150-D1010, ,2ø25c150-D1210,12ø20c150-D1400,12ø20c150-D1300,12ø12c150-D2010,64ø16c150-D1508,64ø16c150-D1508,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET41,B,13ø32c150-D1009, ,2ø25c150-D1209,13ø20c125-D1405,13ø20c150-D1300,13ø12c150-D2009,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET42,B,13ø32c150-D1009, ,2ø25c150-D1209,13ø20c140-D1403,13ø20c150-D1300,13ø12c150-D2009,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET43,B,13ø32c150-D1008, ,2ø25c150-D1208,13ø20c140-D1405,13ø20c150-D1300,13ø12c150-D2008,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET44,B,13ø32c150-D1008, ,2ø25c150-D1208,13ø20c140-D1403,13ø20c150-D1300,13ø12c150-D2008,64ø16c150-D1502,64ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET45,B,13ø32c150-D1007, ,2ø25c150-D1207,13ø20c140-D1405,13ø20c150-D1300,13ø12c150-D2007,63ø16c150-D1502,63ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET46,B,13ø32c150-D1007, ,2ø25c150-D1207,13ø20c140-D1403,13ø20c150-D1300,13ø12c150-D2007,63ø16c150-D1502,63ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET47,B,13ø32c150-D1006, ,2ø25c150-D1206,13ø20c140-D1405,13ø20c150-D1300,13ø12c150-D2006,63ø16c150-D1502,63ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET48,B,13ø32c150-D1006, ,2ø25c150-D1206,13ø20c140-D1403,13ø20c150-D1300,13ø12c150-D2006,63ø16c150-D1502,63ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET49,B,13ø32c150-D1006, ,2ø25c150-D1206,13ø20c140-D1401,13ø20c150-D1300,13ø12c150-D2006,63ø16c150-D1502,63ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET50,B,9ø32c150-D1005, ,2ø25c150-D1205,9ø20c145-D1403,9ø20c150-D1300,9ø12c150-D2005,63ø16c150-D1507,63ø16c150-D1507,27ø12c300c300-D3000,3,27ø12c300c300-D3000,3,13ø12c300c600-D3000,1
BET51,B,13ø32c150-D1005, ,2ø25c150-D1205,13ø20c130-D1401,13ø20c150-D1300,13ø12c150-D2005,63ø16c150-D1502,63ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,26ø12c300c600-D3000,2
BET52,B,13ø32c150-D1004, ,2ø25c150-D1204,13ø20c140-D1404,13ø20c150-D1300,13ø12c150-D2004,62ø16c150-D1502,62ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET53,B,13ø32c150-D1004, ,2ø25c150-D1204,13ø20c140-D1401,13ø20c150-D1300,13ø12c150-D2004,62ø16c150-D1502,62ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET54,B,13ø32c150-D1003, ,2ø25c150-D1203,13ø20c140-D1404,13ø20c150-D1300,13ø12c150-D2003,62ø16c150-D1502,62ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET55,B,13ø32c150-D1003, ,2ø25c150-D1203,13ø20c140-D1401,13ø20c150-D1300,13ø12c150-D2003,62ø16c150-D1502,62ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET56,B,13ø32c150-D1002, ,2ø25c150-D1202,13ø20c140-D1404,13ø20c150-D1300,13ø12c150-D2002,62ø16c150-D1502,62ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET57,B,13ø32c150-D1002, ,2ø25c150-D1202,13ø20c140-D1401,13ø20c150-D1300,13ø12c150-D2002,62ø16c150-D1502,62ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET58,B,13ø32c150-D1001, ,2ø25c150-D1201,13ø20c140-D1404,13ø20c150-D1300,13ø12c150-D2001,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET59,B,13ø32c150-D1001, ,2ø25c150-D1201,13ø20c140-D1401,13ø20c150-D1300,13ø12c150-D2001,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET60,B,8ø32c150-D1000, ,2ø25c150-D1200,8ø20c145-D1404,8ø20c150-D1300,8ø12c150-D2000,61ø16c150-D1506,61ø16c150-D1506,27ø12c300c300-D3000,3,27ø12c300c300-D3000,3,12ø12c300c600-D3000,1
BET61,C,13ø32c150-D1000, , ,13ø20c140-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
BET61,C,13ø32c150-D1000, , ,13ø20c140-D1402,13ø20c150-D1300,13ø12c150-D2000,61ø16c150-D1502,61ø16c150-D1502,45ø12c300c300-D3000,5,45ø12c300c300-D3000,5,24ø12c300c600-D3000,2
